x,y,length of tile size [in px],avg,median,stddev,kurtosis,skewness,c
1561,1277,50,0.3513104,0.35082778,0.018949833,-0.47759572204742007,0.016405729051264764,2
2230,961,50,0.31511983,0.31507984,0.018807378,-0.5723612823335018,0.09152579856572399,2
368,587,50,1.4608357,1.439744,0.18948166,-1.206975026436482,0.2137716652010067,2
1320,1722,50,0.41150746,0.4122696,0.01833512,-0.5200530030219648,-0.03721437102529865,2
117,14,50,0.6928391,2.2895956,3.4049668,-1.5464837576001433,-0.546712165974425,1
2975,2230,50,-0.42434087,-0.47416794,0.48932347,-1.0626673027577929,0.30680000047955663,1
307,1708,50,-0.6275807,-1.0240719,0.6116189,-0.5546429140351594,0.9482986906787568,2
873,942,50,0.5030057,0.5027566,0.01795352,-0.528245464034395,0.15397577667573634,2
366,1489,50,1.4320369,1.4232664,0.18361875,-1.249475121204896,0.09654140108995032,2
1634,991,50,0.3553401,0.35529628,0.018045148,-0.4049055513769786,0.03997508129234456,1
1634,991,50,0.3553401,0.35529628,0.018045148,-0.4049055513769786,0.03997508129234456,2
649,2303,50,-0.97594094,-0.97631496,0.018469086,-0.2533458399728983,-0.08190659080052895,1
1656,828,50,0.36740723,0.3681432,0.019179616,-0.4866115411709031,0.02782870924020896,2
1573,920,50,0.36952463,0.36870176,0.01755358,-0.563426563462949,0.0864511787466429,2
599,315,50,1.3169018,1.2992656,0.16853343,-1.0970851739287912,0.28779694614666934,2
1946,618,50,0.36875692,0.36870176,0.019424537,-0.4370853720747343,0.05126536617990944,2
1794,112,50,-1.2224739,-1.2192893,0.024420355,-0.3878940782701674,-0.3952042277374327,1
51,1162,50,-0.54665476,-0.54678094,0.024768518,-0.6014662689704391,0.021970463509399053,1
1907,1069,50,0.317838,0.3184312,0.018379094,-0.4633691322805076,0.050138082876686,2
2930,576,50,-0.9530031,-0.9849727,0.3301889,-1.17020127495347,0.2735603386068495,1
231,2321,50,-0.6852096,-0.6853043,0.018628752,-0.5673194707962463,-0.00560584082173743,1
1338,734,50,0.41982046,0.42008945,0.018509878,-0.499211624630997,-0.03425679489003938,2
